[zone]|en|fi|pt|ru|zh|ja|ko|de
Act_01_Pregame|River of Inoya|Inoyan Joki|Rio de Inoya|Река Иноя|以诺亚之河|イノヤ川|이노야의 강|Fluss von Inoya
Act_01_01|Outskirts of Inoya|Inoyan laidalla|Periferia de Inoya|Окраины Инои|伊诺亚郊区|イノヤの郊外|미노야 변두리|Außenbezirke von Inoya
Act_01_02|Fields of Battle|Taistelutanner|Campos de batalha|Поле Битвы|战场之地|バトルのフィールド|전장|Schlachtfelder
Act_01_03|The Pumpkin Patch|Kurpitsapelto|O remendo da abóbora|Тыквенное Поле|南瓜地|パンプキン・パッチ（かぼちゃ畑）|호박밭|Der Kürbis Aufnäher
Act_01_04|Woodhill Plains|||||||
Act_01_05|King's Garden|Kuninkaan puutarha|Jardim do rei|Королевский Сад|国王的花园|キングのガーデン|왕실 정원|Königsgarten
||||||||
Act_02_01|Crystal Village|Kristallikylä|Vila de Crystal|Кристальная Деревня|水晶村庄|クリスタル・ビレッジ|크리스탈 마을|Kristalldorf
Act_02_02|Chilling Lake|Hyytävä järvi|Lago frio|Замерзшее Озеро|寒冷之湖|チリング・レーク（寒冷の湖）|얼어붙은 호수|Kühlender See
Act_02_03|Arctic Tundra|Arktinen tundra|Tundra ártica|Арктическая Тундра|北极冻土圈|北極ツンドラ|북극 툰드라|Arktische Tundra
Act_02_04|Snowy Mountains|Lumivuoret|Montanhas nevadas|Снежные Горы|雪山|雪山|설산|Verschneite Berge
Act_02_05|The Glacial Trail|Jäätikön Polku|Trilha Glacial|Ледниковая тропа|冰川足迹|氷河トレイル|빙하 흔적|Gletscherweg
||||||||
Act_03_01|Mos'Arathim Village|Mos'Arathim kylä|Vila de Mos'Arathim|Деревня Мос'Арасим|莫斯阿斯玛村庄|モスアスマ村落|모스'아라팀 마을|Mos'Arathim Dorf
Act_03_02|Dry Hills|Kuivat kukkulat|Colinas de Dry|Сухие Холмы|干燥丘陵|ドライ・ヒルズ|메마른 언덕|Trockene Hügel
Act_03_03|Mos'Arathim Desert|Mos'Arathim aavikko|Deserto de Mos'Arathim|Пустыня Мос'Арасим|莫斯阿斯玛沙漠|モスアスマ砂漠|모스'아라팀 사막|Mos'Arathim-Wüste
Act_03_04|Pyramid Level 1|Pyramidi taso 1|Pirâmide Nível 1|Пирамида, Уровень 1|金字塔1层|ピラミッドの1階|피라미드 1층|Pyramide Stufe 1
Act_03_05|Pyramid Level 2|Pyramidi taso 2|Pirâmide Nível 2|Пирамида, Уровень 2|金字塔2层|ピラミッドの2階|피라미드 2층|Pyramide Stufe 2
||||||||
Act_04_01|Old Mining Village|Vanha kaivoskylä|Velha Aldeia de Mineração|Старая шахтерская деревня|旧矿村|旧い鉱業村|오래된 광산 마을|Altes Bergbau-Dorf
Act_04_02|The Highland Mines|Ylängön kaivos|As minas de Highland|Горные Шахты|高地矿场|高原鉱区|고지 광산|Die Highland Minen
Act_04_03|Corrupted Cave|Korruptoitunut luola|Caverna Corrompida|Оскверненная пещера|腐化洞穴|壊れた洞窟|타락한 동굴|Verderbte Höhle
Act_04_04|The Nightmare|Painajainen|O pesadelo|Кошмар|梦魇|ナイトメア|나이트메어|Der Alptraum
Act_04_05|The Devil's Breach|Paholaisen aukko|A Violação do Diabo|Дьявольский Разлом|恶魔突破口|悪魔の突破口|악마의 골짜기|Teufelsbruch
||||||||
Act_05_01|Mt. Fuji|Fuji vuori|Mt. Fuji|Гора Фудзи|富士山|富士山|후지산|Fuji Berg
Act_05_02|Misty Swamp|Sumuinen suo|Pântano enevoado|Туманное Болото|迷雾沼泽|ミスティ・スワンプ|안개 낀 늪|Nebliger Sumpf
Act_05_03|Fuji Coast|Fujin rannikko|Costa Fuji|Побережье реки Фудзи|富士海岸|富士海岸|후지 해변|Fuji-Küste
Act_05_04|Sea of Karponia|Karponian meri|Mar de Karponia|Море Карпонии|卡普尼亚之海|カルポニアの海|잉오니아의 바다|Karponisches Meer
Act_05_05|Temple of Zamjo|Zamjon temppeli|Templo de Zamjo|Храм Замьё|山庙|ザンジョーの神殿|잠조의 사원|Tempel von Zamjo
||||||||
Act_06_01|Highland Graveyard|Ylängön hautuumaa|Cemitério das montanhas|Горное Кладбище|墓园高地|高原墓地|고원 묘지|Highland-Friedhof
Act_06_02|The Cathedral|Katedraali|A Catedral|Собор|大教堂|大聖堂|성당|Die Kathedrale
Act_06_03|Prison Dungeon|Vankityrmä|Masmorra da prisão|Подземелья Тюрьмы|监狱地牢|プリズン・ダンジョン|지하 감옥|Gefängnis-Verlies
Act_06_04|Steam Train|Höyryjuna|Comboio a vapor|Паровоз|蒸汽火车|蒸気機関車|증기 기관차|Dampfzug
Act_06_05|The Depths of Hell|Helvetin syöverit|As profundezas do inferno|Глубины Ада|地狱深处|地獄の奥底|지옥의 끝|Die Tiefen der Hölle
||||||||
Act_07_01|Deep Space|Syvä Avaruus|Espaço Profundo|Глубокий Космос|深空|ディープスペース|깊은 공간|Tiefer Raum
Act_07_02|Event Horizon|Tapahtumahorisontti|Horizonte de Eventos|Горизонт Событий|视界|イベントホライズン|사상의 지평선|Event-Horizont
Act_07_03|The Black Hole|Musta Aukko|O Buraco Negro|Чёрная Дыра|黑洞|ブラックホール|블랙홀|Das schwarze Loch
Act_07_04|Parallel Dimension|Vastakkainen Todellisuus|Dimensão Paralela|Параллельное Измерение|平行维度|パラレルディメンション|평행 차원|Paralleldimension
Act_07_05|Subconscious Mind|Alitajunta|Subconsciente|Подсознание|潜意识思想|潜在意識|잠재 의식|Unterbewusstsein
||||||||
Act_08_01|Forest of the Slain|Surmattujen metsä|Floresta dos Mortos|Лес Павших|被杀死的森林|殺された森|학살의 숲|Wald der Erschlagenen
